title,notes

022,"20 agosto 1979, mattino, 10:00
Barbara aveva rimandato quel momento già da troppo tempo: alcune sue cose erano ancora nella vecchia casa in cui viveva con James, che adesso era rimasta a lui, e finalmente si era decisa ad andare a recuperarle. Ovviamente, non ci teneva ad incontrarlo dopo il processo e tutto quello che era accaduto, ma fortunatamente quel giorno era fuori Stob e aveva acconsentito a lasciarle le chiavi sotto lo zerbino così che lei potesse entrare in casa. 
Quando aprì la porta si rese conto che il disordine era tremendo: naturalmente, in sua assenza, il “giovanotto” si era dato alla pazza gioia. Scavalcò diverse riviste per salire poi le scale che portavano al piano di sopra. Provò una leggera malinconia a rivedere la sua vecchia casa, se lo aspettava, ma quello che non si aspettava era di trovare facilmente i suoi scatoloni con scritto “varie”. Erano su degli scaffali nella vecchia camera di James, leggermente troppo in alto perché lei ci arrivasse senza un aiuto. Ci provò comunque, perché non aveva voglia di cercare uno sgabello o simili e nello sforzo fece cadere il primo scatolone, quello più in basso, assieme ad un raccoglitore di documenti che era riposto a fianco. Non si fece nulla per un pelo; lo scatolone delle sue cose non si aprì, il raccoglitore invece sputò fuori diversi fogli aprendosi dopo l’urto. Sembravano documenti giudiziari o cose simili: Barbara non poté fare a meno di notare il nome della storica panetteria del suo ex-marito, mentre la curiosità fece il resto. A quanto pare la 5th Street Baking stava per denunciare anonimamente la più recente Rome Baking (Barbara ricordava la rabbia e le imprecazioni di James quando aprì) per “mancanza di rispetto delle norme igieniche vigenti”.
James voleva quindi eliminare anche l’unica concorrenza della città e un moto di rabbia prese per la gola Barbara, ma lei si trattenne di fare ulteriori danni. Avrebbe peggiorato soltanto le cose. Alla fine era andata in quella casa per tutt’altro. Così si diresse verso l’uscita e in quell’esatto momento all’entrata arrivò Vera, la co-proprietaria della Rome Baking, che si trovò spiazzata dalla presenza della donna.
Ne seguì una brevissima ed imbarazzata conversazione dove Barbara capì il reale motivo della comparsa di Vera in quell’uscio di quel motivo, ovvero un interesse amoroso nei confronti di James. Chissà, magari avevano solo iniziato a frequentarsi, magari c’era già qualcosa di più. In ogni caso lei aveva ormai la sua vita a cui pensare, altre problematiche non le servivano. Interrompendo il banale silenzio arrivato dopo qualche ingenuo convenevole, Barbara spiegò di essere l’ex-moglie di James, che era passata da quella casa per prendere degli oggetti che non aveva ancora recuperato, e che l’uomo era assente dalla casa causa lavoro. Vera accettò di buon grado le informazioni e se ne andò, Barbara fece lo stesso. Durante il tragitto, quest’ultima, pensò se fosse stato giusto non informarla di cosa James le stava tramando alle spalle. Ma in fondo non era un suo problema. Forse avrebbe potuto usare quelle informazioni per dare al proprio avvocato una pista in più per vincere il processo in tribunale. Era un’idea. Ma ora come ora non gli interessava, aveva recuperato i suoi oggetti ed era contenta così."

023,"20 agosto 1979, mattino, 10:00
Barbara aveva rimandato quel momento già da troppo tempo: alcune sue cose erano ancora a casa di James, e doveva recuperarle. Non voleva incontrare l’ex-marito e quel giorno lui era fuori Stob e aveva acconsentito a lasciarle le chiavi. La casa era in un disordine tremendo: il “giovanotto” si era dato alla pazza gioia.
Scavalcò diverse riviste per salire al piano di sopra. I suoi scatoloni, con scritto “varie”, erano sugli scaffali nella vecchia camera di James. Erano quasi raggiungibili senza scala. Barbara si allungò più che poté, quasi riusciva a tirare a sé il primo scatolone; ma non riuscì ad afferrarlo con entrambe le mani. Lo scatolone rovinò a terra insieme ad un raccoglitore di documenti. Poco male. Non c’era nulla di delicato, pensò mentre si chinava a controllare. Dal raccoglitore che aveva sparso a terra spuntavano diversi fogli, documenti ufficiali o cose simili. Barbara notò il nome della storica panetteria del suo ex-marito, e la curiosità fece il resto. La 5th Street Baking stava per denunciare anonimamente la più recente Rome Baking per “mancanza di rispetto delle norme igieniche vigenti”. Sfogliò per qualche secondo quei fogli, ma aveva già abbastanza problemi per conto suo senza che si immischiasse in quelli degli altri, e, nonostante le si stringesse il cuore pensando alla panetteria e a come quello stronzo del suo ex-marito non fosse cambiato di una virgola, decise di rimettere tutto a posto.
Mentre risistemava le carte nel raccoglitore, notò che c’erano anche diversi solleciti di pagamento per l’affitto del negozio ed un sorriso le sfuggì dalle labbra. Richiuse lo scatolone, prese i documenti per cui era venuta ed uscì dalla camera di James.
La notizia l’aveva messa veramente di buon umore, anche troppo forse, ma era passato tanto di quel tempo dall’ultima volta che si era sentita così da non importarle minimamente.
Era immersa nei suoi pensieri quando sentì bussare alla porta.
Ironia della sorte, la signora che le si parò di fronte quando aprì era Vera, la proprietaria della Rome Baking, e Barbara non poté fare a meno di chiederle che cosa ci facesse da James.
«Ehm… ciao! Cosa ci fai qui?» chiese Barbara.
«C… ciao Barbara… io… nulla, cercavo James per cose di lavoro… Sai, il nostro fornitore di farina ha dei problemi questa settimana e… ecco volevo chiedere se aveva qualche numero».
«Purtroppo non è in casa adesso, io dovevo prendere solo delle cose, ma lui non c’è».
«Ah ok, sarà meglio che vada allora».
Barbara non sapeva bene cosa fare. Aveva intuito il reale motivo della visita di Vera, ma non era da lei buttare le persone in pasto al proprio carnefice soprattutto se quel carnefice si chiamava James Walter.
«Vera», la chiamò Barbara.
«Si?»
«No, niente, volevo solo dirti che una mia amica lavora all’ispettorato dell’igiene e mi ha detto in confidenza che tra poco ci saranno dei controlli a tappeto in tutta Stob… e quindi… sì, insomma, era solo per dirtelo dato che hai la panetteria e tutto il resto…»
«Ah grazie mille, davvero», rispose Vera e le due si salutarono.
Barbara si avviò con un’espressione di soddisfazione sul volto verso la macchina e mentre infilava le chiavi nella serratura sapeva di aver fatto la cosa giusta.
Richiuse la portiera dietro di sé, il sole che dal finestrino le scaldava la faccia.
«Si sta proprio bene oggi», disse.
E diede gas."

024,"20 agosto 1979, mattino, 10:00
Barbara aveva rimandato quel momento già da troppo tempo: alcune sue cose erano ancora a casa di James, e doveva recuperarle. Non voleva incontrare l’ex-marito, ma quel giorno lui era fuori Stob e aveva acconsentito a lasciarle le chiavi. 
La casa era in un disordine tremendo: il “giovanotto” si era dato alla pazza gioia. Scavalcò diverse riviste per salire al piano di sopra. I suoi scatoloni con scritto “varie” erano sugli scaffali nella vecchia camera di James. Erano quasi raggiungibili senza scala. Barbara si allungò più che poté, quasi riusciva a tirare a sé il primo scatolone, ma non riuscì ad afferrarlo con entrambe le mani. Lo scatolone rovinò a terra insieme ad un raccoglitore di documenti. Poco male. Non c’era nulla di delicato, pensò mentre si chinava a controllare. Dal raccoglitore che aveva sparso a terra spuntavano diversi fogli, documenti ufficiali o cose simili. Barbara notò il nome della storica panetteria del suo ex-marito, e la curiosità fece il resto. La 5th Street Baking stava per denunciare anonimamente la più recente Rome Baking per “mancanza di rispetto delle norme igieniche vigenti”. Barbara in parte era infastidita dalla cosa, James non solo voleva rovinare lei ma anche la concorrenza. Dall’altra parte esitava e pensava che avrebbe dovuto farsi i fatti suoi. Il campanello squillò. Doveva essere tornato. Si nascose i fogli nei pantaloni e quando aprì preoccupata si trovò invece davanti Vera Rome, cassiera e co-proprietaria della Rome Baking.
«Ehm… ciao! Cosa ci fai qui?» disse Barbara.
«C… ciao Barbara… io… nulla, cercavo James per cose di lavoro… Sai il nostro fornitore di farina ha dei problemi questa settimana e… ecco volevo chiedere se aveva qualche numero; sai…»
«Beh, io dovevo prendere solo delle cose, ma lui non è in casa».
«Ah ok, sarà meglio che vada allora».
«Di sicuro tornerà dopo! Scusami sai, devo scappare, mi posi questi fogli dentro che io prendo gli scatoloni?» e le passò in fretta i documenti di James.
«Mmm… sì, certo!»
«Grazie mille!»
Barbara rientrò, prese gli scatoloni e li portò fuori, e dopo che Vera fu di nuovo fuori chiuse la porta e la salutò, non sapendo se aveva fatto la cosa giusta oppure no."

025,"20 agosto 1979, mattino, 10:00
Barbara aveva rimandato quel momento già da troppo tempo: alcune sue cose erano ancora a casa di James, e doveva recuperarle. Non voleva incontrare l’ex-marito, ma quel giorno lui era fuori Stob e aveva acconsentito a lasciarle le chiavi. La casa era in un disordine tremendo: il “giovanotto” si era dato alla pazza gioia. Scavalcò diverse riviste per salire al piano di sopra. I suoi scatoloni con scritto “varie” erano sugli scaffali nella vecchia camera di James. Erano quasi raggiungibili senza scala. Barbara si allungò più che poté, quasi riusciva a tirare a sé il primo scatolone ma non riuscì ad afferrarlo con entrambe le mani. Lo scatolone rovinò a terra insieme ad un raccoglitore di documenti. Poco male. Non c’era nulla di delicato, pensò mentre si chinava a controllare. Dal raccoglitore che aveva sparso a terra spuntavano diversi fogli, documenti ufficiali o cose simili. Barbara notò il nome della storica panetteria del suo ex-marito, e la curiosità fece il resto. La 5th Street Baking stava per denunciare anonimamente la più recente Rome Baking per “mancanza di rispetto delle norme igieniche vigenti”. Fu un attimo e la rabbia rese tutto più confuso: dopo aver rovinato lei, adesso voleva rovinare i concorrenti in città!
«Porco egocentrico!»
Il campanello suonò. James era tornato? Così presto? No, di sicuro avrebbe avuto altre chiavi. Ma se fosse stato lui lei gli avrebbe sputato addosso tanto veleno… Si trovò davanti Vera Rome.
«Ehm… ciao! Cosa ci fai qui?» disse Barbara.
«C… ciao Barbara… io… nulla, cercavo James per cose di lavoro… Sai il nostro fornitore di farina ha dei problemi questa settimana e… ecco volevo chiedere se aveva qualche numero sai…»
«Beh, io dovevo prendere solo delle cose, ma lui non è in casa».
«Ah ok, sarà meglio che vada allora».
Barbara era indecisa. Vera era amante di James? La rabbia contro di lui, la pena la spinsero a parlare di nuovo: «Senti Vera… noi due non ci conosciamo, e a me non interessa perché sei qui, con James è finita ormai. Ma non posso accettare che tu non sappia cosa sta tramando quell’uomo contro te e la tua pasticceria. Vuole denunciarvi! Se non ti sembro pazza e vuoi credermi ti spiegherò tutto… ho qui i documenti. Ti voglio aiutare.»
Vera rimase stordita da tutte quelle parole, ma accettò di seguire Barbara a casa sua."

026,"20 agosto 1979, mattino, 5:00
Vera era coricata nel letto, gli occhi sbarrati che fissavano il muro. I sensi di colpa la divoravano. “Sì, forse non lo amo più. Ma non mi ha mai fatto mancare nulla. È il padre dei miei figli.”
Sentì il ticchettio del rasoio sul lavandino, Edward si stava rasando la barba, i bambini ancora dormivano. Che cosa ne sarebbe stato della sua famiglia? Edward entrò in camera per vestirsi, la guardò senza dire una parola e se andò. Vera aspettò di sentire l’automobile partire dal vialetto, si alzò, guardò fuori dalla finestra e scoppiò in lacrime: “Adesso cambierà tutto!”
Leo Proust era coricato nel letto, gli occhi sbarrati che fissavano il muro. Dopo l’incontro con Vera si sentiva come un bambino al parco giochi, ma allo stesso tempo angosciato: “Cosa succederà adesso? Vera vorrà ancora vedermi?”
Aveva bisogno di sfogarsi, di parlare con qualcuno. Guardò l’orologio… le 5:30… a breve sua sorella si sarebbe alzata per andare a fare la sua corsa quotidiana prima di andare alla scuola dove lavorava come bidella. Lei sarebbe stata la sua confidente e consigliera, lei che non lo aveva mai abbandonato, la sua sorellina adorata. Si alzò, si fece una doccia e si preparò per uscire.
Leo, aspettando la sorella davanti alla porta di casa, pensava: “Forse questa volta devo cavarmela da solo, non posso sempre contare su Amanda”, salì in macchina e andò dalla sua amata.
Suonò al citofono e Vera vedendolo dalla finestra corse fuori.
«Cosa ci fai qui Leo?»
«Vera posso entrare o… c’è Edward? Ho davvero bisogno di parlarti!»
«Edward è al lavoro ma non voglio che entri, parliamo qui… dimmi.»
«Io ti amo, ora tutto è chiaro, ti amo! So che la situazione non è facile ma possiamo risolvere tutto insieme se anche tu…»
«Leo, fermati!», lo interruppe bruscamente Vera. «Io non ti amo, per me è stato un errore, ho sbagliato!»
«No, aspetta, non prendere decisioni affrettate».
«Non è una decisione affrettata, è quello che voglio, stare con la mia famiglia… È stato affrettato stare con te! Vattene Leo, è meglio così per tutti!»
Vera gli voltò le spalle, si diresse verso la porta di casa, lo guardò un’ultima volta: «Vattene», chiuse la porta e sparì. Leo disperato salì in macchina, non pensava che a Vera… Una forte frenata, uno schianto che risuonò in tutto l’isolato e poi… silenzio."

027,"20 agosto 1979, mattino, 5:00
Vera era coricata nel letto, gli occhi sbarrati che fissavano il muro. I sensi di colpa la divoravano. “Sì, forse non lo amo più. Ma non mi ha mai fatto mancare nulla. È il padre dei miei figli.”
Sentì il ticchettio del rasoio sul lavandino, Edward si stava rasando la barba, i bambini ancora dormivano. Che cosa ne sarebbe stato della sua famiglia? Edward entrò in camera per vestirsi, la guardò senza dire una parola e se andò. Vera aspettò di sentire l’automobile partire dal vialetto, si alzò, guardò fuori dalla finestra e scoppiò in lacrime: “Adesso cambierà tutto!”
In tanti anni di matrimonio non avevano mai avuto una crisi così, ma doveva risolversi, non potevano lasciarsi proprio ora. Dopo aver singhiozzato per diversi minuti, Vera si calmò, si preparò per andare al lavoro e uscì con un pensiero soltanto: Edward.
Appena staccò dal turno Vera schizzò al supermercato, fece una spesa veloce e tornò a casa, mandò i bambini da Barbara per avere una serata tranquilla con suo marito e poi si fece bella per lui. Appena Edward entrò a casa l’atmosfera era molto sobria e romantica: niente bambini che correvano su e giù per la casa, niente disordine, niente rumore di pentole mentre Vera urla contro i ragazzi di stare buoni. Si guardò attorno, luci soffuse e candele, appena entrò in cucina vide la moglie in piedi dietro al tavolo apparecchiato per due, lei era bellissima.
«Ciao».
«Ciao», rispose Edward con una strana calma.
Edward la conosceva e sapeva quando mentiva. La guardò negli occhi e sentì che la moglie era veramente pentita. «Gli errori fanno parte di noi, e io la amo troppo per perderla».
«Ti amo piccola».
«Anche io… e… devo dirti anche un’altra cosa… la famiglia si allargherà», disse timidamente.
«Cosa? Sei incinta?» replicò Edward entusiasta.
«Sono stata una stupida e tu non ti meritavi un trattamento simile… vorrei rimediare… vorrei sapere cosa pensi… e vorrei poter cancellare il passato».
Edward si avvicinò e la guardò negli occhi: «Questa mattino ero molto arrabbiato, deluso e… preoccupato. Per tutto il giorno ho pensato al motivo del tuo tradimento, per tutto il giorno ho pensato che tu mi volessi lasciare… »
«Io… non lo so… io non so cosa dire… »
«Lo ami?»
«NO!» rispose Vera con il cuore in gola. «No Ed, amo solo te lo giuro! Lo so che non mi credi ma sono pentita di quello che ho fatto, davvero, credimi ti prego! Scusami Ed, davvero sono stata una stupida, quando ho scoperto della gravidanza mi sono sentita frastornata, un altro bambino… alla mia età… il lavoro… ce la faremo?»
«Adesso basta… non pensarci più. Ora ci siamo noi e la nostra famiglia! Non mi importa davvero, mi sento l’uomo più felice del mondo e io ti amo!»
Leo Proust sembrava non essere mai esistito e Vera ed Edward ora erano più uniti di prima."

028,"20 agosto 1979, mattino, 5:00
Vera era coricata nel letto, gli occhi sbarrati che fissavano il muro. I sensi di colpa la divoravano. “Sì, forse non lo amo più. Ma non mi ha mai fatto mancare nulla. È il padre dei miei figli.”
Sentì il ticchettio del rasoio sul lavandino, Edward si stava rasando la barba, i bambini ancora dormivano. Che cosa ne sarebbe stato della sua famiglia? Edward entrò in camera per vestirsi, la guardò senza dire una parola e se andò. Vera aspettò di sentire l’automobile partire dal vialetto, si alzò, guardò fuori dalla finestra e scoppiò in lacrime: “Adesso cambierà tutto!”
Leo Proust era coricato nel letto, gli occhi sbarrati che fissavano il muro. Dopo l’incontro con Vera si sentiva come un bambino al parco giochi ma allo stesso tempo angosciato “Cosa succederà adesso? Vera vorrà ancora vedermi?”
Aveva bisogno di sfogarsi, di parlare con qualcuno. Guardò l’orologio… le 5:30… a breve sua sorella si sarebbe alzata per andare a fare la sua corsa quotidiana prima di andare alla scuola dove lavorava come bidella. Lei sarebbe stata la sua confidente e consigliera, lei che non lo aveva mai abbandonato, la sua sorellina adorata. Si alzò, si fece una doccia e si preparò per uscire.
Amanda stava rientrando dalla sua corsa quotidiana quando vide il fratello che l’aspettava davanti al vialetto di casa.
«Ciao, cosa fai qui a quest’ora?»
«Ti stavo aspettando, ho bisogno di parlarti…»
la donna vide lo sgomento negli occhi del fratello e lo fece entrare in casa. Leo raccontò tutto d’un fiato ciò che era accaduto con Vera. Lei replicò: «Non posso dirti nulla, devi ascoltare il tuo cuore».
Leo guardò la sorella negli occhi. Poi senza dir nulla uscì e si diresse alla Bakery, deciso a parlare con Vera.
Appena arrivato davanti al negozio si sentì le mani sudare… Entrò. Non c’erano clienti in coda; appena lo vide, Vera sobbalzò. «Ho bisogno di parlarti…»
«Lo immaginavo… senti io…»
«Ti amo Vera».
«Non posso. Non posso Leo, devo stare con mio marito, devo stare con i miei figli, per il loro bene e quello della mia famiglia»
Leo si raggelò. È così che doveva finire?
«Capisco…»
Si ritirò velocemente, per non mostrare il suo orgoglio ferito. A quanto pare poteva accontentarsi solo del ricordo della notte appena trascorsa… un ricordo che sarebbe durato per sempre nella sua memoria."

029,"20 Agosto 1979, mattino, ore 6:00
Dopo essersi lasciati così bruscamente quella mattina Vera e James tornarono rispettivamente alla loro quotidianità. Vera entrò nella sua bakery, mentre James si avviò verso il suo meritato riposo, sdraiandosi nel suo letto. 
Il riposo di un uomo senza preoccupazioni, si sa, è molto tranquillo e profondo; il sonno di James, invece, era talmente turbato e pieno di ansie da non riuscire ad andare oltre la fase REM. Il panettiere continuava a svegliarsi ad ogni più insignificante rumore presente all’interno della stanza: da una goccia d’acqua caduta dal rubinetto del lavandino del bagno al rumore del vento sulle tende. Vera, d’altro canto, continuava le solite mansioni di rito di ogni mattina all’interno della panetteria: facendo finta che il colloquio appena avuto con il problematico James non fosse mai avvenuto. Quello che però i due rivali non avrebbero ammesso e anzi avrebbero negato, pur facendogli notare l’evidenza, era che entrambi erano stranamente e piacevolmente contenti di incontrarsi per quei pochi secondi ogni mattina.
Il sonno tormentato di James si concluse alla fine con un pensiero, fisso come un chiodo nella sua testa. Il panettiere era giunto alla conclusione che avrebbe dovuto ricominciare la sua vita insieme a Vera: quella che all’inizio si era insinuata come una segreta fantasia, si era trasformata adesso in bruciante passione. Non gli importava che i preparativi per il suo divorzio non fossero ancora ultimati, e nemmeno della pressione che gli facevano quelli della Rome Baking. Ogni pensiero e preoccupazione furono spazzati via dall’immagine di Vera nella sua testa. Decise così di alzarsi nuovamente dal letto e di raggiungere Vera nella sua bakery. James era sempre stato un uomo impulsivo, e infatti non sapeva cosa le avrebbe detto: avrebbe dato libero sfogo ai suoi sentimenti, lasciandoli fuoriuscire dalla sua bocca come un fiume in piena; il caffè e le poche ore di sonno avrebbero fatto il resto.
L’uomo era pronto, stava davvero per fare questo passo. Credeva sinceramente che fosse l’unica cosa giusta da fare. Ma mentre stava per mettere il primo piede fuori dall’uscio, suonò il telefono. James raramente rispondeva ma questa volta lo fece. Era l’ospedale. Un’infermiera gli comunicava che la sua quasi ex-moglie era finita in coma. A quanto pare un motociclista ubriaco l’aveva investita ed era fuggito. Avevano chiamato lui perché era ancora legalmente la persona più vicina alla donna; inoltre l’infermiera che lo aveva chiamato lo pregò più volte di andare in ospedale per il riconoscimento del corpo. Come se non bastasse lo avvertiva di due agenti del fisco che lo stavano aspettando. Quello che James non poteva aspettarsi era che la moglie gli aveva lasciato ulteriori debiti per l’avviamento di una nuova attività da lei appena iniziata."

030,"20 Agosto 1979, mattino, ore 9:30
Dopo la telefonata ricevuta dall’infermiera, James si recò in ospedale. Durante il tragitto non riusciva a pensare lucidamente; cercava solo di capire cosa fare a questo punto e non si capacitava di come fosse stato possibile arrivarci. Si accusava di aver anche solo pensato ad un’altra donna in quel momento. Non voleva andare in quella stanza per riconoscere il corpo, ma lo avrebbe fatto lo stesso. Aveva paura di non riuscire a farcela a vedere Barbara in quelle condizioni. I ricordi dei momenti felici passati insieme erano troppi. Improvvisamente, il fervore e l’eccitazione provati nell’andare a parlare con Vera, si trasformò in disprezzo e disgusto nei suoi confronti e di se stesso. Salì le scalinate del General Hospital; ad ogni scalino il suo sguardo era sempre più cupo.
Entrato nell’atrio dell’ospedale, chiese informazioni per raggiungere la stanza nella quale stava la moglie. Nella stanza gli si presentò l’infermiera che lo aveva chiamato, che iniziò a dargli qualche generica informazione sul da farsi, mostrandogli il corpo della moglie collegato ad una macchina. La visione di Barbara non suscitò in James le emozioni che si sarebbe aspettato. Mentre l’uomo fissava ogni particolare del corpo della moglie, la realizzazione prese corpo. James non era triste per la condizione della donna; i diversi anni di matrimonio passati insieme sembravano essere completamente spazzati via dall’accettazione del fatto che la donna che conosceva un tempo non esisteva più. Sì, è vero, erano sposati. Ma i momenti di felicità passati insieme erano contrapposti a diversi altri momenti passati a odiarsi per ciò che avevano fatto l’un l’altro, o a non amarsi, che era lo stesso. Il panettiere si rese conto in quel momento che non aveva più nulla a che fare con quella donna. Già da tempo erano cambiati, ma solo nell’ultimo periodo avevano deciso di separarsi. E ciò che lui un tempo chiamava amore adesso non esisteva più. Ringraziò dunque l’infermiera per la notifica. E uscì; aveva decisamente bisogno di tornare a casa a riflettere. Iniziò a balenare nella sua testa l’idea di lasciare tutto e ricominciare la sua vita in un altro posto. Ci stava seriamente pensando.
Uscito dalla stanza si palesarono davanti ai suoi occhi gli agenti del fisco. In quel momento aveva raggiunto un certo stato di calma; non aveva paura delle accuse e delle minacce di quelle persone. Non ascoltò nemmeno cosa avevano da dirgli e li liquidò solamente con un: «Se avete qualche problema, questo è il numero del mio avvocato. Arrivederci». Per la prima volta nella sua vita, James sapeva cosa doveva fare."

031,"20 agosto 1979, mattino, 2:30
Rientrato a casa, James cominciò a ripensare al colloquio avvenuto poco prima con Vera. Era turbato quando realizzò che, vedendola ogni mattino ,era diventata per lui sempre più importante con il passare del tempo, un rito a cui si era gradualmente affezionato senza rendersene conto.
Il divorzio  non era ancora concluso, ma lui sentiva una certa spinta emotiva verso di lei, nonostante fosse una sua rivale in affari. Per rimettere i pensieri al loro posto, decise di prender la macchina e farsi un giro.
Mentre guidava si accese una sigaretta, caso strano, in quanto lui non fumava mai in macchina. Ma quel giorno era diverso. Sentiva le farfalle nello stomaco, tanto che prima di uscire si era misurato la febbre per accertarsi che ciò che sentisse non fosse un’influenza in incubazione. Ma si sa, il cuore innamorato non lo si cura con nessuna pillola. Senza che se ne rendesse conto, il suo guidare lo aveva portato davanti alla bakery di Vera, dove istintivamente posteggiò per poterla osservare senza esser visto a sua volta. Fu allora che, vedendo Vera che lavorava con quei suoi capelli castani raccolti in una treccia che a lui tanto piaceva, prese una decisione: il giorno dopo le avrebbe regalato dei fiori."

032,"20 agosto 1979, mattino, 9:30
Rientrato a casa, James cominciò a ripensare al colloquio avvenuto poco prima con Vera. Era turbato quando realizzò che, vedendola ogni mattina ,era diventata per lui sempre più importante con il passare del tempo, un rito a cui si era gradualmente affezionato senza rendersene conto.
Il divorzio  non era ancora concluso, ma lui sentiva una certa spinta emotiva verso di lei, nonostante fosse una sua rivale in affari. Per rimettere i pensieri al loro posto, decise di prender la macchina e farsi un giro.
Appena si mise al volante, tutto nella sua mente già iniziava ad assumere una sfumatura più razionale piuttosto che emotiva. Era sempre stato un uomo molto irruento, ma quella sera James si era imposto di ragionare lucidamente. Insomma, aveva altro a cui pensare in quel momento: il lavoro, il divorzio che da solo avrebbe condizionato per molto tempo le sue scelte… l’unica cosa che però non poteva schiodarsi dalla testa fu Vera. 
Nel frattempo aveva finito il suo giro ed era rientrato ancora una volta a casa, dove si buttò sul divano accendendosi una sigaretta. Quando la ebbe finita era arrivato ad una soluzione: il giorno dopo avrebbe offerto a Vera un caffè per parlare di affari. Chissà, magari avendo un contatto lavorativo con lei sarebbe riuscito a togliersela dalla testa."

033,"23 agosto 1979, mattino, 10:00
James Walter era solo in quella grande casa, il suo mondo era caduto completamente a pezzi. Il suo matrimonio era finito, mentre la sua attività, la 5th Street Baking, lo sarebbe stata tra poco.
Non vedeva Vera da giorni, quella bella donna l’aveva abbandonato come tutti gli altri. Ora non gli rimaneva altro che affondare la barca altrui, la Rome Baking, per far galleggiare la sua.
Con rabbia prese la denuncia a danno della bakery avversaria ed uscì di casa.
Prese il furgone delle consegne e sfrecciò a tutta velocità verso la panetteria di Vera.
Guidava come un pazzo, aveva l’adrenalina a mille. Finalmente il suo desiderio di vendetta stava per essere appagato, finalmente qualcun altro avrebbe sofferto quanto lui.
Una volta arrivato parcheggiò l’auto in malo modo e si avviò a larghe falcate verso la Rome Baking, stringendo con forza la denuncia.
Entrato nel locale, sbraitò: «Vera, dove sei?»
La donna uscì dal retrobottega con il grembiule ancora sporco di farina, preoccupata dall’urlo.
Fu sorpresa di vedere James lì sull’uscio, ma non era l’uomo che incrociava con lo sguardo ogni mattina. I suoi occhi sereni si erano fatti scuri e ricolmi di rabbia. Senza neanche poter proferire parola, James le si avvicinò e mise la denuncia sul tavolo. 
«Anche tu affonderai con me».
Poi prese con forza i polsi della donna iniziando ad urlare: «È tutta colpa tua, mi hai rovinato!»
«Lasciala stare».
Una voce risuonò alle spalle di James. Era Leo Proust. Si trovava da quelle parti perché voleva chiarire con Vera, una volta per tutte, l’episodio del loro bacio e vedendola in difficoltà non esitò un attimo per aiutarla.
Si precipitò verso il panettiere per fermarlo, ma James con uno scatto fulmineo gli rifilò un gancio destro che lo mise a tappeto.
L’uomo sconvolto da quello che aveva fatto, scappò dal locale, lasciando Leo steso sul pavimento e Vera inginocchiata su di lui in lacrime."

034,"23 agosto 1979, mattino, 10:00
James Walter era solo in quella grande casa, il suo mondo era caduto completamente a pezzi. Il suo matrimonio era finito, mentre la sua attività, la 5th Street Baking, lo sarebbe stata tra poco.
Non vedeva Vera da giorni, quella bella donna l’aveva abbandonato come tutti gli altri. Ora non gli rimaneva altro che affondare la barca altrui, la Rome Baking, per far galleggiare la sua.
Con rabbia prese la denuncia a danno della bakery avversaria ed uscì di casa.
Non riusciva a credere a tutto ciò che gli stava accadendo, e di certo non era disposto a starsene succube con le mani in mano. Era questo che pensava James mentre era distrattamente alla guida del furgone delle consegne in direzione Rome Baking. Ma non poteva nemmeno permettersi di agire in maniera impulsiva come la mattina di tre giorni prima. Se voleva avere qualche speranza di non uscire distrutto da tutta questa storia doveva mantenere la lucidità.
Una volta parcheggiato in Ryen Avenue avanzò a passi decisi verso la panetteria. Non avrebbe sporto la denuncia alla Rome a muso duro, ma di certo avrebbe ottenuto una qualche risposta alla sua proposta di affari, altrimenti l’unica alternativa sarebbe stata la via legale.
Arrivato all’entrata però James si bloccò prima di aprire la porta; aveva visto all’interno Vera Rome che discuteva in maniera piuttosto trasportata con un uomo. Era Leo Proust, l’ingegnere delle Coal Mine. Non riusciva a sentire ciò che si dicevano e non aveva idea del rapporto che c’era tra quei due; ma vederli conversare così gli dava una sensazione di amarezza e afflizione. Che cosa aveva visto negli occhi di Vera nei loro incontri mattutini? Credeva di piacerle, si sbagliava forse?
James lasciò cadere davanti all’uscio le carte della causa che stava intraprendendo contro la Rome Baking. Forse Vera le avrebbe trovate o forse no, non gli interessava più. Ormai aveva ceduto alla rassegnazione, non sapeva più che fare, dunque non avrebbe fatto nulla. Non gli importava più di nulla."

035,"23 agosto 1979, mattino, 10:00
James Walter era solo in quella grande casa, il suo mondo era caduto completamente a pezzi. Il suo matrimonio era finito, mentre la sua attività, la 5th Street Baking, lo sarebbe stata tra poco.
Non vedeva Vera da giorni, quella bella donna l’aveva abbandonato come tutti gli altri. Ora non gli rimaneva altro che affondare la barca altrui, la Rome Baking, per far galleggiare la sua.
Con rabbia prese la denuncia a danno della bakery avversaria.
James stava uscendo di corsa da casa, ma si dovette fermare perché il telefono stava squillando: era Vera. Agitato, con il cuore che gli batteva fortissimo rispose.
«Pronto?»
«Ciao James, sono Vera. Ti ho chiamato per chiederti se un giorno di questi volevi venire a prendere un caffè insieme a me per parlare un po’.»
James rimase sbalordito. Vera gli stava chiedendo di uscire?
«Okay, va bene accetto. Aspetto tue notizie allora.»
James chiuse la telefonata dopo aver salutato Vera con un enorme sorriso stampato in faccia. 
In fin dei conti non andava tutto così male."

